canonical_id,field,current,proposed,severity,reason_code,evidence,seed
flower_pollen,cui,C4073752,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C4073752 resolves to 'Quercetin/Rye Flower Pollen Extract 250 MG-500 MG Oral Tablet' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Flower Pollen Extract' is a generic substance.",
fluoride,cui,C0016327,,high,no_token_overlap_with_iqm_name,Stored CUI C0016327 resolves to 'Fluorides' with no name tokens overlapping IQM 'Fluoride' or its aliases. Likely wrong-concept hallucination.,
french_oak,cui,C0330306,,high,no_token_overlap_with_iqm_name,Stored CUI C0330306 resolves to 'Quercus robur' with no name tokens overlapping IQM 'French Oak Wood Extract' or its aliases. Likely wrong-concept hallucination.,
gamma_oryzanol,cui,C5979108,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5979108 resolves to 'Amylase/Cellulase/Gamma Oryzanol/Lipase/Marshmallow Root Extract/Slippery Elm Bark 75 MG-100 MG-100 MG Oral Capsule' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Gamma Oryzanol' is a generic substance.",
goldenseal,rxcui,253171,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/253171/properties.json returned no record.,
gypenosides,cui,C0905527,,high,no_token_overlap_with_iqm_name,Stored CUI C0905527 resolves to 'gypenoside' with no name tokens overlapping IQM 'Gypenosides' or its aliases. Likely wrong-concept hallucination.,
hemp_seed_oil,cui,C5777771,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5777771 resolves to 'LIDOCAINE HYDROCHLORIDE 40 mg in 1 g / MENTHOL 10 mg in 1 g TOPICAL CREAM [BAKERS BEST Pain Relief with Pure Hemp Seed Oil]' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Hemp Seed Oil' is a generic substance.",
horse_chestnut_seed,cui,C0001443,,high,no_token_overlap_with_iqm_name,Stored CUI C0001443 resolves to 'adenosine' with no name tokens overlapping IQM 'Horse Chestnut Seed' or its aliases. Likely wrong-concept hallucination.,
lions_mane,cui,C6011652,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C6011652 resolves to 'Lion's Mane Mushroom Extract 500 MG Oral Capsule' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Lion's Mane' is a generic substance.",
lychee_polyphenol,cui,C1072272,,high,no_token_overlap_with_iqm_name,Stored CUI C1072272 resolves to 'Litchi chinensis' with no name tokens overlapping IQM 'Lychee Polyphenol' or its aliases. Likely wrong-concept hallucination.,
maqui_berry,cui,C1067051,,high,no_token_overlap_with_iqm_name,Stored CUI C1067051 resolves to 'Aristotelia chilensis' with no name tokens overlapping IQM 'Maqui Berry' or its aliases. Likely wrong-concept hallucination.,
mastic_gum,cui,C5709624,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5709624 resolves to 'Jarrow Formulas Mastic Gum Capsules' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Mastic Gum' is a generic substance.",
neem,cui,C5670607,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5670607 resolves to 'Neem Mouthrinse' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Neem' is a generic substance.",
noni,cui,C1814348,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C1814348 resolves to 'MORINDA (NONI) LIQUID,ORAL' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Noni' is a generic substance.",
olive_fruit_extract,cui,C6017333,,high,resolved_to_multi_compound_or_combo_product,"Stored CUI C6017333 resolves to 'ZINC OXIDE 20.6 g in 100 g TOPICAL STICK [PLAY Mineral Stick SPF 50 with Olive Fruit Extract]', which is a multi-compound / combo product (separator 'with' splits the name into distinct substance groups). IQM entry 'Olive Fruit Extract' is a single compound.",
omega_6_fatty_acids,cui,C5918245,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5918245 resolves to 'Alpha linolenic acid 434mg, Omega-6 Fatty Acids 276mg, Omega-9 Fatty Acids 170mg, Vitamin E 2.7mg Oral capsule, liquid filled' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Omega-6 Fatty Acids' is a generic substance.",
phosphatidylinositol,cui,C0031621,,high,no_token_overlap_with_iqm_name,Stored CUI C0031621 resolves to 'phosphatidylinositols' with no name tokens overlapping IQM 'Phosphatidylinositol' or its aliases. Likely wrong-concept hallucination.,
protein,cui,C0033684,,high,no_token_overlap_with_iqm_name,Stored CUI C0033684 resolves to 'Proteins' with no name tokens overlapping IQM 'Protein' or its aliases. Likely wrong-concept hallucination.,
purple_corn_extract,cui,C1446590,,high,no_token_overlap_with_iqm_name,Stored CUI C1446590 resolves to 'Zea mays antigen' with no name tokens overlapping IQM 'Purple Corn Extract' or its aliases. Likely wrong-concept hallucination.,
saccharomyces_exiguus,cui,C1940772,,high,no_token_overlap_with_iqm_name,Stored CUI C1940772 resolves to 'Kazachstania exigua' with no name tokens overlapping IQM 'Saccharomyces Exiguus' or its aliases. Likely wrong-concept hallucination.,
shilajit,cui,C3709449,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C3709449 resolves to 'SHILAJIT CAP/TAB' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Shilajit' is a generic substance.",
silicon,cui,C0037114,,high,no_token_overlap_with_iqm_name,Stored CUI C0037114 resolves to 'silicones' with no name tokens overlapping IQM 'Silicon' or its aliases. Likely wrong-concept hallucination.,
split_gill_polypore,cui,C0319679,,high,no_token_overlap_with_iqm_name,Stored CUI C0319679 resolves to 'Schizophyllum commune' with no name tokens overlapping IQM 'Split Gill Polypore' or its aliases. Likely wrong-concept hallucination.,
sulforaphane,rxcui,1116060,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/1116060/properties.json returned no record.,
theacrine,cui,C5778236,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C5778236 resolves to 'mecobalamin/magnesium L-threonate/theacrine 1,000 mcg-35 mg-100 mg ORAL CAPSULE' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Theacrine' is a generic substance.",
turkey_tail,cui,C6011676,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C6011676 resolves to 'Chaga/Maitake Mushroom/Reishi/Shiitake/Turkey Tail Mushroom Oral Capsule' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'Turkey Tail' is a generic substance.",
white_willow_bark,cui,C0936557,,high,resolved_to_branded_or_clinical_drug,"Stored CUI C0936557 resolves to 'White Willow Bark 400 MG Oral Capsule' with semantic types ['Clinical Drug']. Branded/clinical-drug types ['Clinical Drug'] present, but IQM entry 'White Willow Bark' is a generic substance.",
