ingredient,form,prior_bio_score,current_bio_score,delta,prior_tier,current_tier,products_using_this_form,review_bucket,proposed_axis,axis_status,candidate_pmids,candidate_claim,prior_evidence_reference_status,legacy_claim_under_review,current_recalibration_reason,review_question,clinician_decision,clinician_approved_score,clinician_notes,review_status
vitamin_c,ester-C (calcium ascorbate),14,11,-3,Excellent,Good,32,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,80%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
inulin,inulin (unspecified),12,11,-1,Excellent,Good,31,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,inline PMID/DOI,non-digestible β(2→1) fructan; colonic fermentation to SCFA; not systemically absorbed intact,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
vitamin_c,sodium ascorbate,13,11,-2,Excellent,Good,29,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,78%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_histidine,l-histidine standard,12,11,-1,Excellent,Good,29,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_threonine,l-threonine powder,12,11,-1,Excellent,Good,28,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (~80-90%; significant first-pass gut mucosal utilization),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
calcium,calcium citrate malate,14,11,-3,Excellent,Good,27,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,42%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_proline,l-proline powder,12,11,-1,Excellent,Good,25,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~55-70% systemic (40% mucosal catabolism),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
krill_oil,standard krill oil,13,11,-2,Excellent,Good,23,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,krill PL: F~0.7-0.97 with fat; equivalent to fish-TG at matched dose (Yurko-Mauro 2015),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
molybdenum,molybdenum aspartate,12,11,-1,Excellent,Good,21,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,88-93% (estimated; high bioavailability class for soluble Mo chelates),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
5_htp,5-htp (unspecified),14,11,-3,Excellent,Good,19,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,aromatic AA decarboxylase substrate; oral F mean 69.2% (Magnussen 1980),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
bacillus_coagulans,bacillus coagulans (unspecified),12,11,-1,Excellent,Good,19,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
calcium,calcium malate,13,11,-2,Excellent,Good,18,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,40%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
calcium,calcium amino acid chelate,12,11,-1,Excellent,Good,15,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,moderate (class-equiv bisglycinate; PK uncertain),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
calcium,calcium bis-glycinate,14,11,-3,Excellent,Good,14,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,40%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus la-14,13,11,-2,Excellent,Good,14,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,high colonization (~80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
potassium,potassium gluconate,12,11,-1,Excellent,Good,12,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~90%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_arginine,l-arginine hcl,12,11,-1,Excellent,Good,11,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~50-70% at 3-6g doses; ~20% at 10g+ (Tangphao 1999),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_e,mixed tocopherols,12,11,-1,Excellent,Good,11,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"full-spectrum natural; α-form retained via α-TTP, β/γ/δ absorbed but rapidly metabolized","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
psyllium,psyllium (unspecified),12,11,-1,Excellent,Good,10,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,category_error (soluble fiber; not systemically absorbed),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
rosemary,rosemary (unspecified),13,11,-2,Excellent,Good,9,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (rosmarinic + carnosic acid class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
saccharomyces_boulardii,saccharomyces boulardii (unspecified),12,11,-1,Excellent,Good,9,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,audit-trail pointer only,good organism-level survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
boron,calcium fructoborate,13,11,-2,Excellent,Good,8,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (>98%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_lysine,l-lysine base,12,11,-1,Excellent,Good,8,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~60-80% systemic (same as HCl once dissolved),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
maca,maca (unspecified),12,11,-1,Excellent,Good,8,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (macamide + glucosinolate class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
holy_basil,holy basil (unspecified),13,11,-2,Excellent,Good,7,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (eugenol + ursolic acid class),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
bacillus_subtilis,bacillus subtilis (unspecified),12,11,-1,Excellent,Good,7,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
red_wine_extract,red wine extract (unspecified),12,11,-1,Excellent,Good,7,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
l_glycine,l-glycine powder,13,11,-2,Excellent,Good,6,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,~60-85% (dose-dependent hepatic extraction),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
mct_oil,mct oil c8/c10,13,11,-2,Excellent,Good,6,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~95%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_d,vitamin D3 from lichen,12,11,-1,Excellent,Good,5,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,vegan D3; equivalent to animal-derived D3 in 25(OH)D response,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
mct_oil,c10 mct oil (capric acid),13,11,-2,Excellent,Good,4,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~95%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_c,liposomal vitamin C,15,11,-4,Excellent,Good,2,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,90-95%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
selenium,selenium glycinate,14,11,-3,Excellent,Good,2,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,Albion-patented Se chelate; no published human comparator PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
pine_bark_extract,pine bark extract (unspecified),12,11,-1,Excellent,Good,2,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,poor (OPC/proanthocyanidin class-poor; <5% F),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
cla,clarinol,13,11,-2,Excellent,Good,1,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~85%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
nicotinamide_riboside,nicotinamide riboside (unspecified),13,11,-2,Excellent,Good,1,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_c,potassium ascorbate,13,11,-2,Excellent,Good,1,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"buffered ascorbate salt; dissociates to ascorbate ion, F equivalent to ascorbic acid","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
alpha_amylase,alpha-amylase enzyme,12,11,-1,Excellent,Good,1,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_bifidum,bifidobacterium bifidum (unspecified),12,11,-1,Excellent,Good,1,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_longum,bifidobacterium longum (unspecified),12,11,-1,Excellent,Good,1,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
phosphatidylserine,sunflower phosphatidylserine,12,11,-1,Excellent,Good,1,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good to excellent (well-absorbed; crosses BBB),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
bifidobacterium_longum,bifidobacterium longum 35624,15,11,-4,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_longum,bifidobacterium longum bb536,15,11,-4,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
branched_chain_amino_acids,bcaa 2:1:1,15,11,-4,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
branched_chain_amino_acids,bcaa peptides,15,11,-4,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,superior (faster uptake),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
branched_chain_amino_acids,instantized bcaas,15,11,-4,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (enhanced solubility),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus ncfm,15,11,-4,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_plantarum,lactobacillus plantarum lp299v,15,11,-4,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent colonization (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
manuka_honey,umf 15+ / mgo 514+,15,11,-4,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,inline PMID/DOI,manuka MGO acts locally (oral/GI/wound); not systemically absorbed; grade ≠ F,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
mct_oil,c8 mct oil (pure caprylic),15,11,-4,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent (~98%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
bacillus_coagulans,bacillus coagulans mtcc 5856,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bacillus_subtilis,bacillus subtilis de111,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent survival,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
bifidobacterium_breve,bifidobacterium breve m-16v,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
black_seed_oil,thymoquinone standardized,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,thymoquinone lipophilic; no human PK published; animal F ~5-15%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
borage_seed_oil,borage seed oil (unspecified),14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
branched_chain_amino_acids,bcaa 4:1:1,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
calamari_oil,calamari oil phospholipid,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,calamari PL: DHA-rich; class-equivalent to krill PL; no squid-specific PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
citrus_bergamot,bergamot bpf,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,audit-trail pointer only,Bergamot Polyphenolic Fraction; flavonoid class-poor F; clinical lipid RCTs only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
cod_liver_oil,fermented,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,TG-class assumed (no human PK); oxidation/rancidity concerns flagged,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
coenzymated_complex,coenzymated,14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,audit-trail pointer only,coenzymated B-vitamin complex; active forms dephosphorylated pre-absorption,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
coenzymated_complex,coenzymated complex (unspecified),14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
fish_oil,triglyceride (rTG) form,14,11,-3,Excellent,Good,0,priority_evidence_recheck,systemic_bioavailability,candidate_evidence_verified_not_adjudicated,20638827,A randomized human study compares re-esterified triglyceride omega-3 with ethyl ester and natural triglyceride forms; review the exact tier supported.,inline PMID/DOI,very high; +24% plasma EPA+DHA rise vs CLO reference (Dyerberg 2010),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does verified exact-form human evidence support restoring an Excellent tier?,,,,not_clinically_approved
immunoglobulin,immunoglobulin (unspecified),14,11,-3,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
krill_oil,Neptune Krill Oil (NKO),14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,NKO branded: same PL chemistry; F equivalent to fish-TG (Yurko-Mauro 2015),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
krill_oil,Superba Krill (Aker BioMarine),14,11,-3,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,Superba branded: GRAS status ≠ better F; class-equivalent to fish-TG,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
lactobacillus_acidophilus,lactobacillus acidophilus la-5,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_reuteri,lactobacillus reuteri ATCC PTA 5289,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_reuteri,lactobacillus reuteri rc-14,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_rhamnosus,lactobacillus rhamnosus gr-1,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
lactobacillus_rhamnosus,lactobacillus rhamnosus hn001,14,11,-3,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,excellent,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
